Business_id,Login_Date,Sales_Amount,Advanced_Amount,GST_Amount,Payment_mode
ACWA319,08-07-2019,17700,10000,3186,Cheque
APWA986,08-07-2019,0,0,0,Cheque
APWG988,14-04-2022,7000,7000,1260,Cash
AMAP784,17-03-2023,15000,12712,2700,Cheque
AFBD489,27-05-2019,9000,4500,1620,Cash
AJBP737,18-11-2019,5500,4661,990,Cheque 
AJBP737,18-11-2019,5500,4661,990,Cheque
AJBP737,18-11-2019,5500,4661,990,Cheque
AEAP388,05-04-2023,8000,8000,1440,Cash
AING724,17-05-2019,35400,17700,6372,Cash
ATBM1147,11-05-2023,6000,6000,1080,Cheque
ASCV1091,20-09-2022,13900,11780,2502,cheque
AMAJ775,02-10-2019,17700,17700,3186,Cheque 
AHAP583,23-02-2023,10000,10000,1800,Online
ABCP137,31-10-2023,10000,10000,1800,Cash
AANG97,01-02-2023,94400,32000,16992,Online
AANG97,16-06-2023,14160,12000,2548.8,Online
AANG97,21-10-2023,14160,12000,2548.8,Online
AHPS701,10-01-2023,11000,11000,1980,Cash
AHPS701,15-02-2023,11000,11000,1980,Cash
AHPS701,11-05-2023,11000,11000,1980,Online
AHNG680,02-02-2023,14160,14160,2548.8,Cash
AWAS1196,21-07-2023,5900,5000,1062,Cheque
AGND554,08-10-2020,5500,5500,990,Cheque
ALNA770,09-01-2023,6000,6000,1080,Cash
ACNJ296,03-09-2022,11800,11800,2124,Online
AENA441,27-01-2023,40000,40000,7200,Cash
AHBK626,11-11-2021,10030,10030,1805.4,Cash
AENA442,27-01-2023,0,0,0,No Data
AMAJ776,14-10-2019,12000,12000,2160,Cheque  
AHNM685,18-11-2019,14750,14750,2655,Cheque
AHNM685,18-11-2019,14750,14750,2655,Cheque
AHNM685,18-11-2019,14750,14750,2655,Cheque
AHCV72,06-02-2023,14160,12000,2548.8,Cheque
AHCV72,28-11-2022,17700,15000,3186,cheque
AFNM511,18-06-2020,9440,0,1699.2,Cheque
AICV721,03-02-2023,17700,15000,3186,Cheque
AHND675,05-11-2019,11800,5000,2124,Cheque 
AHND675,05-11-2019,11800,5000,2124,Cheque
AHND675,05-11-2019,11800,5000,2124,Cheque
AHNH684,26-07-2022,23600,23600,4248,Cheque
AOAV859,16-11-2022,14160,14160,2548.8,Cash
AGCV272,10-06-2019,6000,4000,1080,Cash
AGCV272,20-08-2019,6000,2000,1080,Cash
AACV76,13-08-2019,5900,5000,1062,Cheque
AABV67,05-08-2019,5000,4237,900,Cheque
ASAP1040,14-03-2023,10000,10000,1800,Cash
AGCV551,08-12-2022,11800,11800,2124,Cheque
AMYM830,15-09-2023,10000,10000,1800,Cheque
AHAS594,17-06-2019,5930,5930,1067.4,Cheque
AHNV700,04-02-2020,5000,5000,900,Cheque
AHNV700,04-02-2020,5000,5000,900,Cheque
ATAP178,04-10-2023,5000,5000,900,Online
ASNG1107,12-09-2023,10000,5000,1800,Online
ACND292,26-07-2022,10620,10620,1911.6,Cheque
AEBA400,29-11-2023,12000,12000,2160,Online
AHCV658,01-04-2023,12000,12000,2160,Cash
AECV434,12-10-2022,17700,17700,3186,Cheque
AHYM703,29-06-2023,12000,12000,2160,Cash
AMAJ572,17-09-2019,15000,12712,2700,Online
AENN458,24-12-2019,17700,10000,3186,Cheque
AENN458,31-01-2020,17700,10000,3186,Cheque
AENN458,31-01-2020,17700,17700,3186,Cheque
AJBP734,12-04-2023,25960,22000,4672.8,Cheque
AJBP734,31-07-2023,14160,12000,2548.8,Cheque
AGBD534,24-09-2019,18000,18000,3240,Cheque 
AMND815,13-08-2020,18000,14760,3240,Cheque 
AABP61,01-06-2023,12000,12000,2160,Cash
AANG98,20-04-2019,10000,10000,1800,Cheque
AAGA81,29-08-2019,14160,12000,2548.8,Cheque
AANG99,30-11-2021,6000,6000,1080,Cash
AANG99,25-01-2022,6000,6000,1080,Cash
AANG99,29-03-2022,11800,11800,2124,Cash
AINR727,11-10-2019,18120,18120,3261.6,Cheque 
AENA443,27-01-2023,0,0,0,No Data
AECV437,30-04-2019,7500,7500,1350,Cheque
ACNN302,20-02-2020,5000,5000,900,Cheque
AENM457,02-06-2020,8260,5000,1486.8,Cheque
AENM457,08-06-2020,8260,7000,1486.8,Cheque
AHBS646,18-07-2023,12000,12000,2160,Cash
AHNG679,21-11-2021,207000,34500,37260,Cheque
AHNG679,25-02-2022,207000,45000,37260,Cheque
AHNG679,18-04-2022,53100,53100,9558,Cheque
AHNG679,08-06-2022,53100,53100,9558,Cheque
AHNG679,08-10-2022,35400,35400,6372,Cheque
AGNG559,07-10-2019,10000,10000,1800,Cheque 
BANG1242,13-05-2023,10000,5000,1800,No Data
BBCV1264,30-05-2019,8000,8000,1440,Cheque
BBBP1261,03-12-2019,0,0,0,No Data
BBBP1261,03-12-2019,0,0,0,No Data
BBBP1261,03-12-2019,0,0,0,No Data
BCSD1352,12-09-2022,13000,13000,2340,Online
BDNR1373,11-07-2019,6000,6000,1080,Cash
BDNR1373,21-10-2019,7000,7000,1260,Cash
BFCV1414,22-09-2022,10000,10000,1800,cheque
BHAH1436,17-01-2023,10000,10000,1800,Cheque
BNWA1538,26-07-2019,0,0,0,No Data
BGCV1323,16-05-2019,11800,11800,2124,Cheque
BRBP1591,04-12-2019,8260,8260,1486.8,Cheque
BRBP1591,04-12-2019,8260,8260,1486.8,Cheque
BRBP1591,04-12-2019,8260,8260,1486.8,Cheque
BFND1418,30-12-2022,10000,10000,1800,Cash
BMNG1525,02-06-2022,9450,9450,1701,Online
BHAN1439,11-01-2020,9440,8000,1699.2,Cheque
BHAN1439,11-01-2020,9440,8000,1699.2,Cheque
BHCV1470,22-09-2022,12000,12000,2160,Cheque
BHAN1440,18-01-2020,11800,11800,2124,Cheque
BHAN1440,18-01-2020,11800,11800,2124,Cheque
BPNJ1579,13-07-2019,7080,6000,1274.4,Cheque
BPNJ1579,14-07-2019,0,0,0,No Data
BPNJ1579,15-07-2019,0,0,0,No Data
BINR1488,09-08-2019,11800,10000,2124,Cheque
BCBG1313,09-05-2023,40000,40000,7200,Cheque
BCBG1313,17-07-2023,15000,15000,2700,Cheque
BRNP1597,03-12-2019,8260,8260,1486.8,Cheque
BRNP1598,03-12-2019,8260,8260,1486.8,Cheque
BRNP1598,03-12-2019,8260,8260,1486.8,Cheque
BSNS1636,16-01-2023,3500,1000,630,Online
BSNS1636,27-12-2022,3500,1000,630,Cash
BFCV1416,08-04-2023,15000,15000,2700,Cash
BPBV1568,22-08-2019,7000,5000,1260,Cash
BPBV1568,06-09-2019,7000,2000,1260,Cash
BSNN1638,28-01-2020,11800,10000,2124,Cheque
BSNN1638,28-01-2020,11800,10000,2124,Cheque
BHBD1460,20-03-2023,6000,5000,1080,Cash
BHNM1477,20-11-2019,11800,7080,2124,Cheque  
BHNM1477,20-11-2019,11800,7080,2124,Cheque
BHNM1477,20-11-2019,11800,7080,2124,Cheque
BSNS1643,10-02-2020,17700,15000,3186,Online
BINR1489,16-09-2020,17700,17700,3186,Cheque
BONJ1546,19-10-2019,15000,15000,2700,Cheque 
BHAS1356,22-07-2023,6000,6000,1080,Cash
BHAP1443,25-03-2023,8000,8000,1440,Cash
BSBM1622,04-12-2019,23600,10000,4248,Cheque
BSBM1622,04-12-2019,23600,10000,4248,Cheque
BSBM1622,04-12-2019,23600,10000,4248,Cheque
BSBM1623,01-02-2021,13000,13000,2340,Cheque
BECV1402,27-03-2023,10000,10000,1800,Cash
BLNM1504,20-11-2019,9440,8000,1699.2,Online 
BLNM1504,20-11-2019,9440,8000,1699.2,Online
BLNM1504,20-11-2019,9440,8000,1699.2,Online
BMCV1520,02-12-2023,15000,15000,2700,Cheque 
BTNP1577,24-12-2019,15000,12712,2700,Cheque
BTNP1577,24-12-2019,15000,12712,2700,Cheque
BTNP1577,24-12-2019,15000,12712,2700,Cheque
CCND1830,31-05-2022,0,0,0,No Data
CCNR1853,28-06-2019,18880,11800,3398.4,Cheque
CCNR1853,29-07-2019,18880,4200,3398.4,Cash
CCNR1853,28-09-2019,7000,7000,1260,Cash
CCAS1747,27-09-2019,5000,5000,900,Cash
CNNR2044,12-06-2019,10000,10000,1800,Cheque
CNNR2044,13-07-2019,7000,7000,1260,Cash
CHND1987,14-12-2022,7080,6000,1274.4,Online
CCAJ1726,12-10-2019,29500,25000,5310,Cheque  
CCAS1699,19-04-2019,7080,7080,1274.4,Cheque
CTAP2148,28-08-2023,6000,6000,1080,Cash
CCNR1858,09-07-2019,10000,10000,1800,Online
CCGA1826,22-07-2019,5900,5000,1062,Cheque
CPNR2079,26-04-2019,11800,11800,2124,Cheque
CPBD2057,02-02-2022,10620,10620,1911.6,Cheque
CHAM1950,02-11-2019,6000,6000,1080,Cheque 
CHAM1950,02-11-2019,6000,6000,1080,Cheque
CHAM1950,02-11-2019,6000,6000,1080,Cheque
CENS1921,07-02-2020,6000,6000,1080,Cheque
CENS1921,07-02-2020,6000,6000,1080,Cheque
CBAS1701,14-11-2019,6000,6000,1080,Online 
CBAS1701,14-11-2019,6000,6000,1080,Online
CBAS1701,14-11-2019,6000,6000,1080,Online
CCNR1714,22-09-2020,11800,10000,2124,Cheque
CENR1918,09-07-2019,7000,7000,1260,Cheque
CHND1988,17-01-2023,15187,13000,2733.66,Cheque
CHND1988,24-02-2023,15187,13000,2733.66,Cheque
CHND1988,30-03-2023,15187,13000,2733.66,Cheque
CHND1988,27-04-2023,15060,13000,2710.8,Cheque
CHND1988,02-06-2023,15187,13000,2733.66,Online
CHND1988,30-07-2023,15187,13000,2733.66,No Data
CHND1988,31-08-2023,15080,13000,2714.4,Online
CHND1988,26-07-2022,15187,13000,2733.66,Cheque
CSNG2145,24-03-2023,11800,11800,2124,Online
CSNG2145,20-12-2019,46715,46715,8408.7,Online
CSNG2145,20-12-2019,46715,46715,8408.7,Online
CSNG2145,20-12-2019,46715,46715,8408.7,Online
CCNG1847,14-06-2019,11800,11800,2124,Online
CING2012,20-01-2021,20000,20000,3600,Cheque 
CPNR2080,21-10-2019,14160,14160,2548.8,Cheque 
CMNR2039,13-06-2019,14000,14000,2520,Cheque
CBNP1713,18-02-2020,8000,8000,1440,Cheque
CPAA2049,20-11-2019,6000,6000,1080,Cheque
CPAA2049,20-11-2019,6000,6000,1080,Cheque
CPAA2049,20-11-2019,6000,6000,1080,Cheque
CAAS1672,29-09-2019,8000,8000,1440,Cash
CCNR1861,05-10-2019,14000,14000,2520,Cheque  
CCNN1849,02-01-2020,19000,10000,3420,Cheque
CCNN1849,02-01-2020,19000,10000,3420,Cheque
CANP1694,02-03-2020,13500,6000,2430,Cash
CRCV2094,09-08-2019,15000,15000,2700,Cash
CECR1913,02-01-2023,8000,8000,1440,Cheque
CHCV1981,21-03-2023,20000,20000,3600,Cash
CSCV1688,24-11-2022,23600,23600,4248,cheque
CFCV1935,02-06-2023,23000,23000,4140,Online
CFCV1935,19-08-2023,12000,12000,2160,Online
CHCV1983,13-12-2022,12000,12000,2160,Cash
CHYM2005,16-03-2020,10000,10000,1800,Cheque
CRCV2095,20-10-2023,17700,17700,3186,Cash
CEBV1910,08-08-2019,11000,9322,1980,Cheque
CCND1840,26-07-2022,5000,5000,900,Online
CMBV2032,17-07-2019,15000,12712,2700,Cheque
CIAS2010,05-07-2019,7000,7000,1260,Online
CCBM1680,24-12-2019,17700,17700,3186,Cheque
CCBM1680,24-12-2019,17700,17700,3186,Cheque
CCBM1680,24-12-2019,17700,17700,3186,Cheque
CRNS2106,24-02-2020,17700,15000,3186,Cheque
CHCG1978,27-12-2019,10000,8475,1800,Online
CCNP1851,03-03-2020,5000,5000,900,Cash
CCCV1818,04-11-2022,14160,12000,2548.8,Cheque
